有効,クライアント名,効果測定シートID,生データタブ名,プロジェクトシートID,アカウント
TRUE,税理士法人イデアコンサルティング,18uyEbUfXRB1A8tfHujlCzTbKgVpZjWedz-dbPhJk4Hs,,1JMN1bqVs9AQgCP1XN7nqgRPKvZ5iwB0qArOSbCtSfFw,ideaconsulting
FALSE,さくらフォレスト,1N3R02q2bZoM5EaZLOHeMNrlLUxBO1W6zD1E9vpXClpI,,1mwhswUm_6ETr-FeDqAV-LTmfD1OzZx3JUTW444soJKo,
TRUE,株式会社廣記商行,1bDNDQiGCPN5lA9lX-VBBe1V4SQWSJd2W4N4OByYKTS8,,149gieNe-kZB8LuDblMiuJ9EjZcFFVrsI5m27WRr0ass,weipa_kokishoko
FALSE,しろくま電力,1WcIZSlOZobH44SVWNRO9ad88_A9iwv8CEtlNCbAxX_A,,1hN-f1fxzhPHhjld5t2_I1H6xs9bGqK-Yvc4Wp57TdP4,shirokumapower
TRUE,R&C,1VIWrsNdH_3j47emYEZFTETCi4MJbeYumKRT36yf_1_o,,1bnnL537DMaCuNlK1t3qc7MlRa2YXH7Mtyc0nNorIT8k,randcins_tiktok
TRUE,三承工業(西ゴリ代表),1bNpVbztqIdLP74nmRoz3-LDTFXFIEQ4aQXN9bYp0oso,,1oHUThviponnInatY4RuuvJjAqNvs9SY-lEtjQtfrszk,sunshow
TRUE,株式会社TOWA/恭子ママ,1OD6u2qygh-_OrtJzvGA1s3ueTlUNo1ggmUwpI_PMWCg,,,towamembers
TRUE,医療法人社団 凰佳会/ノア歯科,1z18ihaQ2uoIPOLAPLio-lQQoiQWXmpdFQ-myln85gNI,,153reUbI_ApSi8JZCpy_aDHqHvOwFPs8ew4m4cE2ljJE,noah
TRUE,トータルライフプロモーターズ/MOHIPILATES,1WUzk2fhMr99WymwEGEDQQThZkBDoCtzjQg_QRtfZx6g,,1xBHjpcS4-VvM9Tq0nB4nd4zfd3fl4YdrZdL295xY4RY,mohi
TRUE,スマイル・リンク,186QlEa8KEG7bjdZRSKqvPsehLA-rkHKxPNTfDoe4LoM,,1OvMVduU2RTR2qtCTKJOs4e00DmMppY17Mh4eHtC1iDA,smileclub.sns
TRUE,B-first/Agu.,1F2lT6T2PMVD1VqouucuReuoIww2NZlm_QAQPhrlqKt0,,1lVyEGCiaFBNxO-0-prxb5W227Z2qjPXChIgJa_Ax_Hc,aguofficial
TRUE,東京ビックハウス,1IcUwgqCIyBPeoXkUDRr1dVGVI8isZGQS_Y0cDpsQR4E,,1ALqpaO9j3-K2-NnIoY58cR8EnDtNrJ6694mQOROO93E,tokyobighouse
FALSE,出光リテール販売,1OYiwLbH7nxY4fmrXZoPj4aW-8ISttCNzGWU-ZsaSseU,,1jHJaIS_mPF36KRjxWor_OP6JO9qlkh7T_zK3MC_PkyA,idemitsu_retail
TRUE,AOE,1YhU_bzuE_f3saC6spIlq2_4SbB2EBYTWtdrMBLDcJlg,,1BJu_tymZjRYjUSeg5H50CLJVtClo3VmZyA1HLxd65-Q,aoehofqg2lq
TRUE,有限会社山謙,1RqiM4M82f_B9qGkvmbJaCLyKhpJtmz3th6-Y8Yxlr8k,,1Es3hUpX5t59Fq3CG8qBgUMiDD38foxvhJjlPymJwoRM,yamaken_recruit
TRUE,株式会社ラングローブ,1H81L48pfDhBfxUm5B8Ar6bejNI2zEnuertPoSZ-mu_0,,1-Q9Xm52qpK6KHBodgXh2esKc0DWWF2Mdyus3qfCizuU,runglobe.sns
TRUE,株式会社利久,1xgc_vC_r2PCmziTW6QLGPQorIVUwEQGPVQfGdU9jSSQ,,1mzQ9BxU6yUWcoSFzey17_dJkR5wixxwzubBjzJTztEM,rikyu.official
TRUE,株式会社dTosh,1WIBkEhIsGvQuvyn40wf4LGbeJc7v1Wq9M8Fy4WoqTKw,,1rQRYAbHX7pX_jVoQkKKN2yKe2HibHw4vWbTWHzNThmU,
